phone_number,imei,imsi,tower_id,call_type,timestamp,duration,ip_address
+919876543210,864209041234567,404450123456789,TOW-DL-0104,VOICE_OUT,2026-03-10 09:45:12,185,103.21.144.68
+919876543210,864209041234567,404450123456789,TOW-DL-0104,SMS_OUT,2026-03-10 10:02:45,0,103.21.144.68
+919876543210,864209041234567,404450123456789,TOW-DL-0104,VOICE_IN,2026-03-10 10:14:30,420,103.21.144.68
+919123456789,864209041234567,404450987654321,TOW-DL-0104,VOICE_OUT,2026-03-10 10:20:10,310,103.21.144.68
+919876543210,864209041234567,404450123456789,TOW-DL-0104,VOICE_OUT,2026-03-10 10:25:00,95,103.21.144.68
+919988776655,864209041234567,404450554433221,TOW-DL-0104,VOICE_IN,2026-03-10 10:30:15,60,103.21.144.68
+919988776655,864209041234567,404450554433221,TOW-DL-0104,SMS_OUT,2026-03-10 10:38:22,0,103.21.144.68
+919123456789,864209041234567,404450987654321,TOW-DL-0104,VOICE_IN,2026-03-10 10:45:45,145,103.21.144.68
+919876543210,864209041234567,404450123456789,TOW-DL-0219,VOICE_OUT,2026-03-10 11:00:18,210,103.21.144.68
+919411223344,863344556677889,404450667788990,TOW-DL-0219,VOICE_IN,2026-03-10 11:05:30,45,157.34.22.19
+919988776655,864209041234567,404450554433221,TOW-DL-0219,VOICE_OUT,2026-03-10 11:10:00,120,103.21.144.68
+919123456789,860123049876543,404450987654321,TOW-JH-0033,SMS_OUT,2026-03-10 11:20:05,0,49.36.120.45
+919876543210,864209049999999,404450123456789,TOW-DL-0219,VOICE_OUT,2026-03-10 11:45:50,540,103.21.144.68
+919555001122,864209041234567,404450889900112,TOW-DL-0219,VOICE_IN,2026-03-10 12:00:10,75,103.21.144.68
+919988776655,864209041234567,404450554433221,TOW-DL-0219,VOICE_IN,2026-03-10 12:20:40,300,103.21.144.68
+919123456789,860123049876543,404450987654321,TOW-JH-0033,VOICE_OUT,2026-03-10 12:45:12,180,49.36.120.45
+919876543210,864209048888888,404450123456789,TOW-DL-0219,SMS_OUT,2026-03-10 13:10:25,0,103.21.144.68
+919333445566,861122334455667,404450223344556,TOW-MH-0512,VOICE_OUT,2026-03-10 13:30:00,90,182.72.90.14
